["opt1","LEFT"]
["opt2","LEFT"]
("opt2","mode 1",1,"opt2",1,"transmission")
(101, 3)
1.8737028625000000e+14 9.1548352016252528e-04 -3.0891727831082205e+00
1.8749519977416666e+14 8.7387855396382037e-04 -3.1050475625799545e+00
1.8762011329833334e+14 8.3299938643504104e-04 -3.1224916760814430e+00
1.8774502682250000e+14 7.9288289085475559e-04 -3.1416995360190922e+00
1.8786994034666666e+14 7.5357213940744868e-04 -3.1628952447161018e+00
1.8799485387083334e+14 7.1511767085668013e-04 -3.1863374058256149e+00
1.8811976739500000e+14 6.7757903879459762e-04 -3.2123244808889257e+00
1.8824468091916666e+14 6.4102669513238183e-04 -3.2412005335860727e+00
1.8836959444333334e+14 6.0554426431042767e-04 -3.2733610014701644e+00
1.8849450796750000e+14 5.7123125444832900e-04 -3.3092577937424128e+00
1.8861942149166666e+14 5.3820622229273040e-04 -3.3494024617970246e+00
1.8874433501583334e+14 5.0661034309000780e-04 -3.3943653395626119e+00
1.8886924854000000e+14 4.7661120889570021e-04 -3.4447673231680511e+00
1.8899416206416666e+14 4.4840645430928338e-04 -3.5012593552300459e+00
1.8911907558833334e+14 4.2222644828229057e-04 -3.5644829432418894e+00
1.8924398911250000e+14 3.9833477438607948e-04 -3.6350039607557214e+00
1.8936890263666666e+14 3.7702460279746494e-04 -3.7132132699024041e+00
1.8949381616083334e+14 3.5860855559760184e-04 -3.7991941523405366e+00
1.8961872968500000e+14 3.4339976940979313e-04 -3.8925710181315596e+00
1.8974364320916666e+14 3.3168327817750077e-04 -3.9923760108977402e+00
1.8986855673333334e+14 3.2368008268732651e-04 -4.0969910551008244e+00
1.8999347025750000e+14 3.1951075950843743e-04 -4.2042235052996944e+00
1.9011838378166666e+14 3.1916885172421919e-04 -4.3115361120334850e+00
1.9024329730583334e+14 3.2251345861935437e-04 -4.4163839033493293e+00
1.9036821083000000e+14 3.2928437221604119e-04 -4.5165535781497308e+00
1.9049312435416666e+14 3.3913483595031190e-04 -4.6103995902271411e+00
1.9061803787833334e+14 3.5167156919883099e-04 -4.6969264482211148e+00
1.9074295140250000e+14 3.6649174844788156e-04 -4.7757354473398914e+00
1.9086786492666666e+14 3.8321067723322494e-04 -4.8468932333821328e+00
1.9099277845083334e+14 4.0147859970816814e-04 -4.9107803524974454e+00
1.9111769197500000e+14 4.2098826224209578e-04 -4.9679574386842367e+00
1.9124260549916666e+14 4.4147600903870240e-04 -5.0190643321457165e+00
1.9136751902333334e+14 4.6271906686551643e-04 -5.0647525589822058e+00
1.9149243254750000e+14 4.8453100538555698e-04 -5.1056448594374295e+00
1.9161734607166666e+14 5.0675664479062662e-04 -5.1423140036082922e+00
1.9174225959583334e+14 5.2926712269202151e-04 -5.1752741554483439e+00
1.9186717312000000e+14 5.5195545940592489e-04 -5.2049797749524735e+00
1.9199208664416666e+14 5.7473273914741547e-04 -5.2318286660520910e+00
1.9211700016833334e+14 5.9752490600338288e-04 -5.2561670224890422e+00
1.9224191369250000e+14 6.2027011790330216e-04 -5.2782951885881193e+00
1.9236682721666666e+14 6.4291658170127807e-04 -5.2984734145208172e+00
1.9249174074083334e+14 6.6542079072929835e-04 -5.3169272345606871e+00
1.9261665426500000e+14 6.8774609296173579e-04 -5.3338523041087029e+00
1.9274156778916666e+14 7.0986152777551058e-04 -5.3494186490718967e+00
1.9286648131333334e+14 7.3174087958660097e-04 -5.3637743441255319e+00
1.9299139483750000e+14 7.5336190605640539e-04 -5.3770486670059139e+00
1.9311630836166666e+14 7.7470570667707926e-04 -5.3893547879799115e+00
1.9324122188583331e+14 7.9575620433895722e-04 -5.4007920554901609e+00
1.9336613541000000e+14 8.1649971797642770e-04 -5.4114479355827232e+00
1.9349104893416666e+14 8.3692460877347657e-04 -5.4213996570772052e+00
1.9361596245833331e+14 8.5702098605276711e-04 -5.4307156078772207e+00
1.9374087598250000e+14 8.7678046164145766e-04 -5.4394565215418860e+00
1.9386578950666666e+14 8.9619594384819559e-04 -5.4476764873046459e+00
