["port 1",""]
["port 2",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(11, 3)
1.8737028625e+14 2.5519492989e-02 -2.9530291614e-01
1.8854871572e+14 2.4813400934e-02 2.5454659038e+00
1.8974206203e+14 2.9488919606e-02 -7.2346834323e-01
1.9095061019e+14 2.1245771732e-02 2.1794254570e+00
1.9217465256e+14 2.7582242965e-02 -5.5591267282e-01
1.9341448903e+14 2.9743513628e-02 2.3542938355e+00
1.9467042727e+14 2.9951755370e-02 -7.4931869947e-01
1.9594278301e+14 2.0938474748e-02 2.5888316884e+00
1.9723188026e+14 3.1375143009e-02 -1.0564950302e-01
1.9853805166e+14 2.9030114114e-02 -3.1297940463e+00
1.9986163867e+14 2.6996248198e-02 2.5868316589e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(11, 3)
1.8737028625e+14 9.8652334907e-01 1.5633427521e+00
1.8854871572e+14 9.8689273403e-01 3.0381807842e+00
1.8974206203e+14 9.8721730215e-01 -1.7431439102e+00
1.9095061019e+14 9.8742372291e-01 -2.1394431981e-01
1.9217465256e+14 9.8777597767e-01 1.3433516228e+00
1.9341448903e+14 9.8807446011e-01 2.9299137707e+00
1.9467042727e+14 9.8789920241e-01 -1.7366901854e+00
1.9594278301e+14 9.8748351347e-01 -8.9485047330e-02
1.9723188026e+14 9.8726270573e-01 1.5895345170e+00
1.9853805166e+14 9.8701269631e-01 -2.9816020939e+00
1.9986163867e+14 9.8652822329e-01 -1.2362425865e+00
("port 2","mode 1",1,"port 1",1,"transmission")
(11, 3)
1.8737028625e+14 9.9991022931e-01 1.5595859421e+00
1.8854871572e+14 1.0004068495e+00 3.0342861519e+00
1.8974206203e+14 1.0009060017e+00 -1.7473586275e+00
1.9095061019e+14 1.0014944012e+00 -2.1806206209e-01
1.9217465256e+14 1.0018894581e+00 1.3397362481e+00
1.9341448903e+14 1.0021551496e+00 2.9264012825e+00
1.9467042727e+14 1.0025089659e+00 -1.7402561959e+00
1.9594278301e+14 1.0028266730e+00 -9.2670969433e-02
1.9723188026e+14 1.0026988517e+00 1.5866736687e+00
1.9853805166e+14 1.0027958259e+00 -2.9848048282e+00
1.9986163867e+14 1.0031960538e+00 -1.2395062733e+00
("port 2","mode 1",1,"port 2",1,"transmission")
(11, 3)
1.8737028625e+14 3.9878185465e-03 -2.0853409779e+00
1.8854871572e+14 3.0400636781e-03 -7.7608706416e-01
1.8974206203e+14 2.4037808867e-03 1.4540932817e+00
1.9095061019e+14 4.2234167364e-03 -3.0061874213e+00
1.9217465256e+14 4.9298729646e-03 -1.5654595076e+00
1.9341448903e+14 4.3918781540e-03 2.1445790321e-02
1.9467042727e+14 4.4317621589e-03 1.7543779936e+00
1.9594278301e+14 4.6664308855e-03 -2.9559183606e+00
1.9723188026e+14 3.7795655791e-03 -1.2562525592e+00
1.9853805166e+14 4.0665481991e-03 9.9978209050e-01
1.9986163867e+14 6.6023558610e-03 2.7946299094e+00
